Event.Date,Location,Country,Airport.Code,Total.Fatal.Injuries
9/2/2018,"New Washoe City, NV",United States,TRK,2
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
9/1/2018,"Covington, TN",United States,M04,1
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
8/31/2018,"St Ignace, MI",United States,83D,1
,,,,
,,,,
,,,,
,,,,
,,,,
8/30/2018,"Fort Walton Beach, FL",United States,KDTS,4
,,,,
8/29/2018,"Prescott, AZ",United States,PRC,1
8/29/2018,"Redding, CA",United States,O85,1
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
8/27/2018,"Pensacola, FL",United States,NONE,1
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
8/25/2018,"Island Pond, VT",United States,5B1,1
8/25/2018,"Swainsboro, GA",United States,SBO,4
,,,,
,,,,
,,,,
,,,,
8/24/2018,"Hanson, MA",United States,28M,1
,,,,
8/24/2018,"Balchik, Bulgaria",Bulgaria,LBWB,1
,,,,
,,,,
,,,,
,,,,
8/22/2018,"Descanso, CA",United States,SEE,2
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
8/21/2018,"Granger, TX",United States,GTU,2
,,,,
,,,,
,,,,
,,,,
,,,,
8/20/2018,"Phoenix, AZ",United States,DVT,2
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
8/19/2018,"Santo Domingo Norte, Dominican Republic",Dominican Republic,MDJB,2
,,,,
,,,,
,,,,
,,,,
8/18/2018,"Camp Verde, AZ",United States,19AZ,2
,,,,
,,,,
,,,,
8/18/2018,"Westminster, MD",United States,07MD,2
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
8/16/2018,"Rhome, TX",United States,T76,1
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
8/12/2018,"Sylmar, CA",United States,WHP,1
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
8/11/2018,"St. George, UT",United States,SGU,1
8/11/2018,"Baker City, OR",United States,BKE,2
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
8/9/2018,"Munster, Germany",Germany,EDDG,2
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
8/5/2018,"Santa Ana, CA",United States,SNA,5
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
8/4/2018,"Foley, AL",United States,PVT,2
8/4/2018,"Fratauti, Romania",Romania,LRSV,1
8/4/2018,"Fratauti, Romania",Romania,LRSV,1
,,,,
8/4/2018,"Ponca City, OK",United States,PNC,5
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
8/2/2018,"Lopez Island, WA",United States,S31,2
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
7/30/2018,"Greenville, ME",United States,3B1,3
,,,,
,,,,
,,,,
,,,,
,,,,
7/29/2018,"Sao Paulo, Brazil",Brazil,SBMT,1
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
7/26/2018,"Cleveland, TN",United States,RZR,1
7/26/2018,"Palatka, FL",United States,28J,2
,,,,
,,,,
,,,,
,,,,
7/25/2018,"Ayolas, Paraguay",Paraguay,SGAY,4
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
7/24/2018,"Lincolnton, NC",United States,IPJ,2
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
7/20/2018,"Sheboygan, WI",United States,SBM,1
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
7/17/2018,"Truckee, CA",United States,KTRK,2
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
7/15/2018,"La Porte, TX",United States,T41,2
,,,,
,,,,
,,,,
,,,,
7/14/2018,"Santiago, Chile",Chile,SCTB,2
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
7/12/2018,"Plainville, CT",United States,4B8,1
7/12/2018,"Toronto, Canada",Canada,CYKZ,1
,,,,
,,,,
7/12/2018,"Rhome, TX",United States,7TS0,1
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
7/10/2018,"Ponte de Sor, Portugal",Portugal,LPSO,1
7/10/2018,"Moriarty, NM",United States,0.00E+00,1
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
7/8/2018,"Williamsburg, VA",United States,JGG,2
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
7/5/2018,"Daytona Beach, FL",United States,7FL6,1
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
7/4/2018,"Bad Voslau, Austria",Austria,LOAV,2
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
6/27/2018,"Manteo, NC",United States,MQI,1
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
6/24/2018,"Detroit, MI",United States,DET,2
6/24/2018,"Monmouth, IL",United States,C66,2
,,,,
,,,,
6/23/2018,"Aguila, AZ",United States,28AZ,1
,,,,
,,,,
,,,,
6/22/2018,"Diamondhead, MS",United States,66Y,1
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
6/15/2018,"Hesperia, CA",United States,L26,2
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
6/10/2018,"Monroe, WI",United States,EFT,4
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
6/5/2018,"Rock Sound, Bahamas",Bahamas,MYER,3
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
6/3/2018,"Salem, OR",United States,OR87,1
6/2/2018,"Mountain Home, ID",United States,MUO,1
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
5/31/2018,"Bosschenhoofd, Netherlands",Netherlands,EHSE,1
,,,,
5/31/2018,"Midland, TX",United States,KMAF,2
,,,,
,,,,
5/30/2018,"Melville, NY",United States,FRG,1
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
5/27/2018,"Petaluma, CA",United States,O69,2
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
5/27/2018,"Omaha, NE",United States,MLE,2
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
5/22/2018,"Daytona Beach, FL",United States,7FL6,1
5/22/2018,"Chesapeake, VA",United States,CPK,1
,,,,
,,,,
5/22/2018,"Bolivar, MO",United States,M17,1
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
5/21/2018,"Commerce, GA",United States,N/A,1
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
5/18/2018,"Havana, Cuba",Cuba,MUHA,112
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
5/13/2018,"Clonbullogue, Ireland",Ireland,EICL,2
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
5/11/2018,"Lone Tree, CO",United States,APA,1
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
5/5/2018,"Middletown, NY",United States,06N,1
5/5/2018,"Sault Ste Marie, MI",United States,ANJ,2
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
5/2/2018,"West Milford, NJ",United States,4N1,1
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
5/1/2018,"Reno, NV",United States,RTS,1
,,,,
,,,,
,,,,
,,,,
,,,,
4/29/2018,"Vryheid, South Africa",South Africa,FAVV,2
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
4/29/2018,"Innsbruck, Austria",Austria,LOWI,2
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
4/27/2018,"Kalkaska, MI",United States,Y89,2
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
4/25/2018,"Kingsville, TX",United States,NQI,2
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
4/20/2018,"Collegedale, TN",United States,FGU,1
,,,,
,,,,
,,,,
,,,,
4/19/2018,"Williamsburg, PA",United States,AOO,2
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
4/15/2018,"Friona, TX",United States,7TS9,2
,,,,
,,,,
,,,,
4/14/2018,"LaBelle, FL",United States,X14,1
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
4/9/2018,"Scottsdale, AZ",United States,SDL,6
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
4/6/2018,"Petaluma, CA",United States,O69,1
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
4/4/2018,"Daytona Beach, FL",United States,DAB,2
,,,,
,,,,
4/2/2018,"Marion, IN",United States,MZZ,2
4/2/2018,"Marion, IN",United States,MZZ,2
,,,,
,,,,
,,,,
3/31/2018,"Santa Paula, CA",United States,SZP,2
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
3/26/2018,"Marina, CA",United States,OAR,1
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
3/11/2018,"La Center, WA",United States,WA46,1
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
3/8/2018,"Laredo, TX",United States,KLRD,2
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
3/5/2018,"Beaufort, SC",United States,ARW,1
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
2/28/2018,"Ocean City, MD",United States,OXB,2
,,,,
,,,,
,,,,
,,,,
2/27/2018,"Georgetown, FL",United States,3FL0,2
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
2/25/2018,"Eustis, FL",United States,X55,1
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
2/22/2018,"Manaus City, Brazil",Brazil,SWFN,4
,,,,
,,,,
,,,,
2/21/2018,"San Diego, CA",United States,MYF,1
,,,,
,,,,
2/21/2018,"Bonifay, FL",United States,1J0,1
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
2/18/2018,"Evanston, WY",United States,EVW,2
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
2/6/2018,"Santee, CA",United States,SEE,2
,,,,
,,,,
,,,,
,,,,
,,,,
2/5/2018,"Carrabelle, FL",United States,X13,1
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
1/30/2018,"Newport Beach, CA",United States,SNA,3
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
1/23/2018,"Sauk Centre, MN",United States,D39,1
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
1/17/2018,"Nicholls Town, Bahamas",Bahamas,MYAN,6
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
12/31/2017,"Punta Islita, Costa Rica",Costa Rica,MRIA,12
,,,,
12/30/2017,"Alicante, Spain",Spain,LEMU,1
12/30/2017,"Alicante, Spain",Spain,LEMU,1
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
12/24/2017,"Bartow, FL",United States,BOW,5
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
12/17/2017,"Itapua, Paraguay",Paraguay,SGEN,1
,,,,
,,,,
,,,,
,,,,
,,,,
12/16/2017,"Oldenburg, IN",United States,HLB,3
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
12/10/2017,"Miami, FL",United States,TMB,1
12/10/2017,"Maunaloa, HI",United States,MKK,2
12/9/2017,"San Diego, CA",United States,MYF,2
,,,,
,,,,
,,,,
,,,,
,,,,
12/8/2017,"Geneva, FL",United States,SFB,3
,,,,
,,,,
,,,,
,,,,
12/7/2017,"St. Croix, VI",United States,STX,5
,,,,
,,,,
12/6/2017,"Chesterfield, MO",United States,SUS,1
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
12/3/2017,"Ravenna, OH",United States,POV,1
,,,,
,,,,
,,,,
12/2/2017,"Hernando, MS",United States,MS9,2
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
11/23/2017,"Starke, FL",United States,VQQ,1
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
11/19/2017,"Tehachapi, CA",United States,TSP,1
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
11/10/2017,"Pineville, LA",United States,2L0,1
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
11/7/2017,"Morrison, TN",United States,RNC,2
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
11/4/2017,"Hatch, NM",United States,E05,4
11/4/2017,"Alva, OK",United States,AVK,2
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
10/31/2017,"Whiteville, NC",United States,CPC,1
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
10/12/2017,"Las Cruces, NM",United States,LRU,2
,,,,
,,,,
,,,,
,,,,
,,,,
10/9/2017,"S?œo Jos?? do Rio Preto, Brazil",Brazil,SBSR,3
10/9/2017,"Los Lunas, NM",United States,E98,1
,,,,
,,,,
,,,,
,,,,
10/8/2017,"Vernon, TX",United States,F05,1
,,,,
,,,,
,,,,
,,,,
10/7/2017,"Front Royal, VA",United States,FRR,1
,,,,
,,,,
,,,,
,,,,
,,,,
10/6/2017,"Gauteng Province, South Africa",South Africa,FAKT,1
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
10/5/2017,"Bardstown, KY",United States,BRY,1
,,,,
10/4/2017,"Salters, SC",United States,PVT,2
10/4/2017,"Eden Prairie, MN",United States,FCM,1
,,,,
,,,,
,,,,
,,,,
10/2/2017,"San Juan, PR",United States,SIG,1
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
9/28/2017,"Cape Town, South Africa",South Africa,FACT,1
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
9/26/2017,"Unknown, Bahamas",Bahamas,MYEH,2
,,,,
,,,,
,,,,
,,,,
,,,,
9/25/2017,"Cleburne, TX",United States,TX46,1
,,,,
,,,,
,,,,
,,,,
,,,,
9/24/2017,"Camden, AR",United States,CDH,2
,,,,
,,,,
,,,,
9/23/2017,"Ainsworth, NE",United States,KANW,1
9/23/2017,"Thief River Falls, MN",United States,TVF,3
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
9/20/2017,"Goderich, Canada",Canada,CYGD,2
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
9/9/2017,"Cerrione, Italy",Italy,LILE,1
,,,,
,,,,
,,,,
9/8/2017,"Medford, NJ",United States,N14,2
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
8/31/2017,"Fishers, IN",United States,UMP,1
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
8/29/2017,"Portland, TN",United States,1M5,2
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
8/19/2017,"Madras, OR",United States,S33,1
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
8/18/2017,"Quinton, VA",United States,W96,1
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
8/11/2017,"New Milford, CT",United States,11N,1
,,,,
,,,,
8/10/2017,"Algiers, Algeria",Algeria,DAAG,4
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
8/9/2017,"Las Vegas, NM",United States,NM53,1
,,,,
,,,,
,,,,
8/8/2017,"Fort Atkinson, WI",United States,61C,2
8/6/2017,"Green Township, NJ",United States,13N,1
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
8/3/2017,"Rio Linda, CA",United States,MCC,1
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
7/31/2017,"Topeka, KS",United States,TOP,2
,,,,
,,,,
,,,,
,,,,
,,,,
7/30/2017,"Danbury, CT",United States,DXR,1
,,,,
,,,,
7/29/2017,"Big Bear, CA",United States,L35,2
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
7/27/2017,"Oshkosh, WI",United States,96WI,2
,,,,
,,,,
7/26/2017,"Ogden, UT",United States,OGD,4
,,,,
,,,,
,,,,
,,,,
,,,,
7/25/2017,"Eteringbang, Guyana",Guyana,SYET,1
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
7/22/2017,"Apple Valley, CA",United States,APV,1
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
7/19/2017,"Towanda, PA",United States,N27,1
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
7/17/2017,"Mesa, AZ",United States,FFZ,2
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
7/14/2017,"El Monte, CA",United States,EMT,1
,,,,
,,,,
,,,,
,,,,
,,,,
7/13/2017,"SCHELLVILLE, CA",United States,0Q9,1
,,,,
,,,,
,,,,
7/13/2017,"Tyler, TX",United States,KTYR,2
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
7/8/2017,"Waterford, OH",United States,PKB,2
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
7/6/2017,"Honesdale, PA",United States,N30,1
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
7/4/2017,"Remsen, NY",United States,NY57,1
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
7/2/2017,"Linesville, PA",United States,PA01,1
,,,,
,,,,
7/2/2017,"Moorhead, MN",United States,JKJ,1
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
7/1/2017,"Monticello, IA",United States,MXO,1
